"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"88888888 666666 55,555 1,333,333,333","12/31/2025","","Credit","400.90000","","88888888","ACH Deposit COMPANY: INVESTMENT INDIVIDUAL SELL NAME","Investment Income","","1033.94000","","ACH Deposit COMPANY: INVESTMENT INDIVIDUAL SELL"
"11111111 222222 33,333 4,444,444,444","12/01/2025","12/01/2025","Debit","152.47000","","11111111","POS Purchase WALMART SUPERCENTER #4821","Groceries","","881.47000","","POS Purchase WALMART SUPERCENTER #4821"
"22222222 333333 44,444 5,555,555,555","12/02/2025","12/02/2025","Debit","45.00000","","22222222","ACH Debit NETFLIX SUBSCRIPTION","Entertainment","","836.47000","","ACH Debit NETFLIX MONTHLY SUBSCRIPTION"
"33333333 444444 55,555 6,666,666,666","12/03/2025","12/03/2025","Credit","2500.00000","","33333333","ACH Deposit EMPLOYER: ACME CORP PAYROLL","Payroll","","3336.47000","","ACH Deposit EMPLOYER: ACME CORP DIRECT DEPOSIT"
"44444444 555555 66,666 7,777,777,777","12/04/2025","12/04/2025","Debit","38.12000","","44444444","POS Purchase SHELL OIL 00345","Gas & Fuel","","3298.35000","","POS Purchase SHELL OIL STATION #00345"
"55555555 666666 77,777 8,888,888,888","12/04/2025","12/04/2025","Debit","120.00000","1001","55555555","Check #1001","Bill Payment","","3178.35000","","Personal Check Written"
"66666666 777777 88,888 9,999,999,999","12/05/2025","12/05/2025","Debit","9.99000","","66666666","ACH Debit SPOTIFY PREMIUM","Entertainment","","3168.36000","","ACH Debit SPOTIFY PREMIUM SUBSCRIPTION"
"77777777 888888 99,999 1,111,111,111","12/06/2025","12/06/2025","Debit","250.00000","","77777777","ATM Withdrawal CHASE ATM 00912","ATM Withdrawal","","2918.36000","","ATM Cash Withdrawal CHASE BANK #00912"
"99999999 111111 22,222 3,333,333,333","12/07/2025","12/07/2025","Debit","67.34000","","99999999","POS Purchase TARGET STORE #0892","Shopping","","2851.02000","","POS Purchase TARGET CORPORATION #0892"
"10101010 121212 13,131 2,020,202,020","12/08/2025","12/08/2025","Credit","150.00000","","10101010","ACH Deposit VENMO PAYMENT RECEIVED","Transfer","","3001.02000","","ACH Deposit VENMO PEER TRANSFER RECEIVED"
